City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
84,Paungde,66,MM,1586727347,78,18.48,95.5,70.77,3.53
85,New Norfolk,75,AU,1586727333,93,-42.78,147.06,48.0,5.82
86,Yellowknife,5,CA,1586726988,44,62.46,-114.35,21.0,6.93
87,Cidreira,69,BR,1586727227,76,-30.18,-50.21,67.82,13.42
88,Albany,75,US,1586727340,25,42.6,-73.97,62.6,17.22
89,Hasaki,75,JP,1586727346,93,35.73,140.83,50.0,19.46
90,Lagunas,87,PE,1586727348,60,-5.23,-75.68,87.28,2.17
91,Butaritari,98,KI,1586727348,81,3.07,172.79,83.01,16.02
92,Ituiutaba,0,BR,1586727348,61,-18.97,-49.47,75.51,4.63
93,At-Bashi,74,KG,1586727348,21,41.17,75.81,47.97,7.02
94,Muroran,0,JP,1586727104,75,42.32,140.99,37.09,7.25
95,Kapaa,40,US,1586727339,61,22.08,-159.32,78.8,11.41
96,Mumbwa,32,ZM,1586727349,57,-14.98,27.06,63.66,2.59
97,Luganville,40,VU,1586727349,88,-15.53,167.17,80.6,1.12
98,Ponta do Sol,75,PT,1586727349,82,32.67,-17.1,60.8,14.99
99,Sapouy,22,BF,1586727349,24,11.55,-1.77,90.61,4.59
100,Nanortalik,85,GL,1586727341,90,60.14,-45.24,33.73,21.18
101,Vardø,75,NO,1586727349,92,70.37,31.11,28.4,20.8
102,Lakeway,40,US,1586727134,21,30.36,-97.98,86.0,14.99
103,Rimbey,90,CA,1586727350,79,52.63,-114.24,23.0,23.04
104,Marana,40,US,1586727184,30,32.44,-111.23,73.0,11.3
105,Ust'-Koksa,100,RU,1586727350,46,50.27,85.61,38.84,6.38
106,Avanigadda,0,IN,1586727350,88,16.02,80.92,76.53,3.24
107,Carndonagh,77,IE,1586727350,83,55.25,-7.27,45.27,15.21
108,Pacific Grove,90,US,1586727350,82,36.62,-121.92,60.01,9.17
109,Kismayo,100,SO,1586726987,78,-0.36,42.55,84.02,13.09
110,Iqaluit,75,CA,1586727350,85,63.75,-68.51,19.4,26.4
111,Ōhara,75,JP,1586727351,93,35.25,140.38,50.0,19.46
112,Puerto Escondido,40,MX,1586727351,79,15.85,-97.07,84.2,9.17
113,Tamsweg,85,AT,1586727351,53,47.13,13.81,50.0,3.36
114,Fukuechō,91,JP,1586727351,69,32.69,128.84,54.01,34.85
115,Cruzeiro,36,BR,1586727351,73,-22.58,-44.96,65.41,3.22
116,Alegrete,0,BR,1586727351,49,-29.78,-55.79,71.01,7.9
117,Henties Bay,0,NA,1586727351,85,-22.12,14.28,64.0,6.06
118,Lüderitz,9,NA,1586727351,100,-26.65,15.16,60.8,9.17
119,Paamiut,85,GL,1586727352,89,61.99,-49.67,34.47,32.68
120,Suez,0,EG,1586727352,48,29.97,32.53,64.69,8.88
121,Monrovia,75,LR,1586727352,94,6.3,-10.8,75.2,8.05
122,Oktyabr'skiy,34,RU,1586727142,79,54.48,53.47,35.51,4.16
123,Tripoli,17,LY,1586727352,66,32.88,13.19,62.4,18.66
124,Tasiilaq,100,GL,1586726873,86,65.61,-37.64,30.2,32.21
125,Kavaratti,0,IN,1586726869,71,10.57,72.64,84.33,5.17
126,Barrow,90,US,1586726756,92,71.29,-156.79,23.0,3.36
127,Örnsköldsvik,1,SE,1586727353,59,63.29,18.72,35.6,19.46
128,Whyalla,39,AU,1586727353,87,-33.03,137.58,46.4,5.82
129,Avarua,97,CK,1586727337,94,-21.21,-159.78,80.6,3.36
130,Iralaya,20,HN,1586727353,59,15.0,-83.23,93.2,9.17
131,Qaanaaq,86,GL,1586727353,78,77.48,-69.36,16.81,1.81
132,Krasnaya Gorka,92,RU,1586727353,85,55.2,56.67,38.73,8.25
133,Xylaganí,0,GR,1586727354,75,40.98,25.42,50.0,4.36
134,Nara,75,JP,1586727354,87,34.69,135.8,51.8,4.7
135,Camaná,29,PE,1586727354,69,-16.62,-72.71,74.64,9.37
136,Matamoros,20,MX,1586727354,2,25.53,-103.25,87.8,13.87
137,Spirit River,75,CA,1586727354,76,55.78,-118.84,32.0,2.24
138,Klaksvík,97,FO,1586727340,84,62.23,-6.59,32.0,11.41
139,Pevek,54,RU,1586727354,90,69.7,170.31,7.81,11.97
140,Sawtell,0,AU,1586727354,93,-30.38,153.1,55.4,4.7
141,Karasjok,75,NO,1586727354,68,69.47,25.51,30.2,18.34
142,Pacifica,90,US,1586727074,72,37.61,-122.49,70.0,5.82
143,Saint-Augustin,11,CA,1586727355,86,51.23,-58.65,34.48,11.54
144,Vágur,98,FO,1586727355,80,61.47,-6.81,35.44,14.0
145,Srednekolymsk,98,RU,1586727355,95,67.45,153.68,14.86,11.9
146,Itarema,100,BR,1586727355,85,-2.92,-39.92,80.33,7.92
147,Alice Springs,2,AU,1586727355,51,-23.7,133.88,59.0,3.36
148,East London,0,ZA,1586727355,64,-33.02,27.91,66.51,16.89
149,Cayenne,20,GF,1586726874,69,4.93,-52.33,82.4,10.29
150,Pangkalanbuun,99,ID,1586727356,93,-2.68,111.62,76.44,2.95
151,Fairbanks,20,US,1586727099,33,64.84,-147.72,46.4,1.9
152,Moberly,90,US,1586727321,77,39.42,-92.44,66.0,8.05
153,Ribeira Grande,20,PT,1586727353,72,38.52,-28.7,62.6,14.99
154,San Cristobal,20,VE,1586727356,52,7.77,-72.22,91.4,11.41
155,Sobolevo,52,RU,1586727356,66,54.43,31.9,39.27,10.07
156,Fortuna,1,US,1586727356,82,40.6,-124.16,60.01,16.11
157,Irpa Irpa,0,BO,1586727357,13,-17.72,-66.27,82.4,5.82
158,Senekal,81,ZA,1586727357,19,-28.32,27.62,59.11,7.52
159,Marsá Maţrūḩ,0,EG,1586727357,76,31.35,27.25,57.2,2.55
160,Deputatsky,10,RU,1586727357,84,69.3,139.9,-3.05,3.15
161,Dzaoudzi,43,YT,1586727357,88,-12.79,45.27,80.6,3.36
162,Oranjemund,22,NA,1586727357,93,-28.55,16.43,61.36,5.57
163,Mīnāb,100,IR,1586727357,73,27.15,57.08,77.0,4.7
164,Ilorin,52,NG,1586727357,58,8.5,4.55,86.0,5.32
165,Wajima,100,JP,1586727357,73,37.4,136.9,50.94,37.58
166,Faanui,81,PF,1586727358,70,-16.48,-151.75,83.1,10.69
167,Petropavlovsk-Kamchatskiy,3,RU,1586727358,74,53.05,158.65,28.4,4.47
168,Mar del Plata,90,AR,1586727358,77,-38.0,-57.56,64.4,10.29
169,Sabang,66,ID,1586727358,75,5.89,95.32,82.89,8.32
170,Caravelas,22,BR,1586726871,84,-17.71,-39.25,78.08,17.31
171,Oriximiná,95,BR,1586727358,79,-1.77,-55.87,83.19,2.13
172,Muravlenko,100,RU,1586727358,95,63.79,74.52,34.0,7.85
173,Qinhuangdao,0,CN,1586727358,46,39.93,119.59,49.3,5.39
174,Bilibino,1,RU,1586727358,88,68.05,166.44,8.8,0.96
175,Kimbe,30,PG,1586727359,85,-5.55,150.14,78.46,2.01
176,Esna,17,EG,1586727359,33,25.29,32.55,71.6,11.27
177,Mahébourg,40,MU,1586726873,74,-20.41,57.7,78.8,11.41
178,County Wicklow,75,IE,1586727359,76,53.0,-6.42,50.0,14.99
179,Sindou,19,BF,1586727359,28,10.67,-5.17,89.13,2.68
180,Port Elizabeth,0,ZA,1586727359,72,-33.92,25.57,60.8,20.8
181,Dikson,100,RU,1586726870,96,73.51,80.55,13.84,17.45
182,Mukhen,0,RU,1586727359,66,48.1,136.1,37.89,4.05
183,Emerald,0,AU,1586727359,45,-23.53,148.17,64.99,9.17
184,Sioux Lookout,75,CA,1586727360,72,50.1,-91.92,32.0,11.41
185,Chui,69,UY,1586727339,75,-33.7,-53.46,65.79,10.09
186,Barguzin,99,RU,1586727360,78,53.62,109.62,31.03,3.09
187,Zig,90,US,1586727360,93,40.13,-92.77,59.0,12.75
188,Padang,100,ID,1586726987,77,-0.95,100.35,77.02,4.5
189,Faya,20,SA,1586727360,82,18.39,42.45,62.6,5.82
190,Carauari,100,BR,1586727360,86,-4.88,-66.9,77.74,1.72
191,Mitsamiouli,97,KM,1586727360,80,-11.38,43.28,83.19,13.87
192,Torbay,75,CA,1586726867,52,47.67,-52.73,45.0,9.17
193,Saint Anthony,90,US,1586727361,86,45.02,-93.22,32.0,11.41
194,Purpe,99,RU,1586727361,97,64.48,76.69,33.31,8.97
195,Vanavara,0,RU,1586727361,95,60.34,102.28,27.84,2.17
196,Ilulissat,100,GL,1586727130,74,69.22,-51.1,37.4,12.75
197,Bunia,100,CD,1586727361,65,1.57,30.25,66.94,3.6
198,Port Macquarie,0,AU,1586727361,81,-31.43,152.92,55.0,3.36
199,Kingaroy,0,AU,1586727361,100,-26.53,151.83,53.6,5.28
200,Bollnäs,100,SE,1586727361,53,61.35,16.39,37.99,4.0
201,Yar-Sale,100,RU,1586727336,98,66.83,70.83,21.67,7.2
202,Pisco,0,PE,1586727353,30,-13.7,-76.22,80.01,23.04
203,Nova Borova,95,UA,1586727362,58,50.69,28.63,42.26,9.91
204,Dunedin,100,NZ,1586727077,65,-45.87,170.5,48.0,30.0
205,Kirakira,100,SB,1586727362,81,-10.45,161.92,80.29,4.54
206,Mikumi,100,TZ,1586727362,82,-7.4,36.98,70.09,2.21
207,Usinsk,35,RU,1586727362,92,65.99,57.53,15.78,4.14
208,Madang,88,PG,1586727362,79,-5.22,145.8,79.54,2.98
209,Vila Velha,75,BR,1586727283,64,-20.33,-40.29,75.2,9.17
210,Bredasdorp,4,ZA,1586727355,71,-34.53,20.04,57.2,76.06
211,Khandyga,63,RU,1586727363,96,62.67,135.6,21.25,3.8
212,São Gabriel da Cachoeira,92,BR,1586727363,85,-0.13,-67.09,82.85,2.44
213,Ferry Pass,90,US,1586727088,83,30.51,-87.21,79.0,14.99
214,Ostrovnoy,100,RU,1586726867,90,68.05,39.51,28.06,22.08
